"id","code","name","reconcile","account_type",parent_id/id
ec5010202,5.01.02.02.,GASTO PLANES DE BENEFICIOS A EMPLEADOS,FALSE,view,ec50102
ec501020201,5.01.02.02.01,GASTO PLANES DE BENEFICIOS A EMPLEADOS,FALSE,expense_direct_cost,ec5010202
ec50103,5.01.03.,MANO DE OBRA INDIRECTA,FALSE,view,ec501
ec5010301,5.01.03.01.,SUELDOS Y BENEFICIOS SOCIALES,FALSE,view,ec50103
ec501030101,5.01.03.01.01,SUELDOS Y BENEFICIOS SOCIALES,FALSE,expense_direct_cost,ec5010301
ec5010302,5.01.03.02.,GASTO PLANES DE BENEFICIOS A EMPLEADOS,FALSE,view,ec50103
ec501030201,5.01.03.02.01,GASTO PLANES DE BENEFICIOS A EMPLEADOS,FALSE,expense_direct_cost,ec5010302
ec50104,5.01.04.,OTROS COSTOS INDIRECTOS DE FABRICACION,FALSE,view,ec501
ec5010401,5.01.04.01.,"DEPRECIACIÓN PROPIEDADES, PLANTA Y EQUIPO",FALSE,view,ec50104
ec501040101,5.01.04.01.01,"DEPRECIACIÓN PROPIEDADES, PLANTA Y EQUIPO",FALSE,expense_depreciation,ec5010401
ec5010402,5.01.04.02.,DEPRECIACIÓN DE ACTIVOS BIOLOGICOS,FALSE,view,ec50104
ec501040201,5.01.04.02.01,DEPRECIACIÓN DE ACTIVOS BIOLOGICOS,FALSE,expense_depreciation,ec5010402
ec5010403,5.01.04.03.,"DETERIORO DE PROPIEDAD, PLANTA Y EQUIPO",FALSE,view,ec50104
ec501040301,5.01.04.03.01,"DETERIORO DE PROPIEDAD, PLANTA Y EQUIPO",FALSE,expense_depreciation,ec5010403
ec5010404,5.01.04.04.,EFECTO VALOR NETO DE REALIZACION DE INVENTARIOS,FALSE,view,ec50104
ec501040401,5.01.04.04.01,EFECTO VALOR NETO DE REALIZACION DE INVENTARIOS,FALSE,expense_direct_cost,ec5010404
ec5010405,5.01.04.05.,GASTO POR GARANTIAS EN VENTA DE PRODUCTOS O SERVICIOS,FALSE,view,ec50104
ec501040501,5.01.04.05.01,GASTO POR GARANTIAS EN VENTA DE PRODUCTOS O SERVICIOS,FALSE,expense_direct_cost,ec5010405
ec5010406,5.01.04.06.,MANTENIMIENTO Y REPARACIONES,FALSE,view,ec50104
ec501040601,5.01.04.06.01,MANTENIMIENTO Y REPARACIONES,FALSE,expense_direct_cost,ec5010406
ec5010407,5.01.04.07.,SUMINISTROS MATERIALES Y REPUESTOS,FALSE,view,ec50104
ec501040701,5.01.04.07.01,SUMINISTROS MATERIALES Y REPUESTOS,FALSE,expense_direct_cost,ec5010407
ec5010408,5.01.04.08.,OTROS COSTOS DE PRODUCCIÓN,FALSE,view,ec50104
ec501040801,5.01.04.08.01,OTROS COSTOS DE PRODUCCIÓN,FALSE,expense_direct_cost,ec5010408
ec50105,5.01.05.,COSTOS DE VENTA,FALSE,view,ec501
ec5010501,5.01.05.01.,COSTOS DE VENTA BIENES,FALSE,view,ec50105
ec501050101,5.01.05.01.01,COSTOS DE VENTA BIENES,FALSE,expense_direct_cost,ec5010501
ec502,5.02.,GASTOS,FALSE,view,ec5
ec50201,5.02.01.,GASTOS DE VENTA,FALSE,view,ec502
ec5020101,5.02.01.01.,"SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES",FALSE,view,ec50201
ec502010101,5.02.01.01.01,"SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES",FALSE,expense,ec5020101
ec5020102,5.02.01.02.,APORTES A LA SEGURIDAD SOCIAL (INCLUIDO FONDO DE RESERVA),FALSE,view,ec50201
ec502010201,5.02.01.02.01,APORTES A LA SEGURIDAD SOCIAL (INCLUIDO FONDO DE RESERVA),FALSE,expense,ec5020102
ec5020103,5.02.01.03.,BENEFICIOS SOCIALES E INDEMNIZACIONES,FALSE,view,ec50201
ec502010301,5.02.01.03.01,BENEFICIOS SOCIALES E INDEMNIZACIONES,FALSE,expense,ec5020103
ec5020104,5.02.01.04.,GASTO PLANES DE BENEFICIOS A EMPLEADOS,FALSE,view,ec50201
ec502010401,5.02.01.04.01,GASTO PLANES DE BENEFICIOS A EMPLEADOS,FALSE,expense,ec5020104
ec5020105,5.02.01.05.,"HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES",FALSE,view,ec50201
ec502010501,5.02.01.05.01,"HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES",FALSE,expense,ec5020105
ec5020106,5.02.01.06.,REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS,FALSE,view,ec50201
ec502010601,5.02.01.06.01,REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS,FALSE,expense,ec5020106
ec5020107,5.02.01.07.,HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES,FALSE,view,ec50201
ec502010701,5.02.01.07.01,HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES,FALSE,expense,ec5020107
ec5020108,5.02.01.08.,MANTENIMIENTO Y REPARACIONES,FALSE,view,ec50201
ec502010801,5.02.01.08.01,MANTENIMIENTO Y REPARACIONES,FALSE,expense_direct_cost,ec5020108
ec5020109,5.02.01.09.,ARRENDAMIENTO OPERATIVO,FALSE,view,ec50201
ec502010901,5.02.01.09.01,ARRENDAMIENTO OPERATIVO,FALSE,expense,ec5020109
ec5020110,5.02.01.10.,COMISIONES,FALSE,view,ec50201
ec502011001,5.02.01.10.01,COMISIONES,FALSE,expense,ec5020110
ec5020111,5.02.01.11.,PROMOCIÓN Y PUBLICIDAD,FALSE,view,ec50201
ec502011101,5.02.01.11.01,PROMOCIÓN Y PUBLICIDAD,FALSE,expense,ec5020111
ec5020112,5.02.01.12.,COMBUSTIBLES,FALSE,view,ec50201
ec502011201,5.02.01.12.01,COMBUSTIBLES,FALSE,expense,ec5020112
ec5020113,5.02.01.13.,LUBRICANTES,FALSE,view,ec50201
ec502011301,5.02.01.13.01,LUBRICANTES,FALSE,expense,ec5020113
ec5020114,5.02.01.14.,SEGUROS Y REASEGUROS (PRIMAS Y CESIONES),FALSE,view,ec50201
ec502011401,5.02.01.14.01,SEGUROS Y REASEGUROS (PRIMAS Y CESIONES),FALSE,expense,ec5020114
ec5020115,5.02.01.15.,TRANSPORTE,FALSE,view,ec50201
ec502011501,5.02.01.15.01,TRANSPORTE,FALSE,expense,ec5020115
ec5020116,5.02.01.16.,"GASTOS DE GESTIÓN (AGASAJOS A ACCIONISTAS, TRABAJADORES Y CLIENTES)",FALSE,view,ec50201
ec502011601,5.02.01.16.01,"GASTOS DE GESTIÓN (AGASAJOS A ACCIONISTAS, TRABAJADORES Y CLIENTES)",FALSE,expense,ec5020116
ec5020117,5.02.01.17.,GASTOS DE VIAJE,FALSE,view,ec50201
ec502011701,5.02.01.17.01,GASTOS DE VIAJE,FALSE,expense,ec5020117
ec5020118,5.02.01.18.,"AGUA, ENERGÍA, LUZ, Y TELECOMUNICACIONES",FALSE,view,ec50201
ec502011801,5.02.01.18.01,"AGUA, ENERGÍA, LUZ, Y TELECOMUNICACIONES",FALSE,expense,ec5020118
ec5020119,5.02.01.19.,NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES,FALSE,view,ec50201
ec502011901,5.02.01.19.01,NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES,FALSE,expense,ec5020119
ec5020121,5.02.01.21.,DEPRECIACIONES:,FALSE,view,ec50201
ec502012101,5.02.01.21.01.,"PROPIEDADES, PLANTA Y EQUIPO",FALSE,view,ec5020121
ec50201210101,5.02.01.21.01.01,"PROPIEDADES, PLANTA Y EQUIPO",FALSE,expense_depreciation,ec502012101
ec502012102,5.02.01.21.02.,PROPIEDADES DE INVERSIÓN,FALSE,view,ec5020121
ec50201210201,5.02.01.21.02.01,PROPIEDADES DE INVERSIÓN,FALSE,expense_depreciation,ec502012102
ec5020122,5.02.01.22.,AMORTIZACIONES:,FALSE,view,ec50201
ec502012201,5.02.01.22.01.,INTANGIBLES,FALSE,view,ec5020122
